Frame,Time,Arena 1 ROI 1 Mean,Arena 1 ROI 1 Sum,Arena 1 ROI 2 Mean,Arena 1 ROI 2 Sum,Arena 1 ROI 3 Mean,Arena 1 ROI 3 Sum
1904,63.46666666666667,182.81040186228864,8952591,195.97623268334317,8954742,207.84072659234428,7997919
1905,63.5,182.73670668953687,8948982,195.86678484669423,8949741,207.7444453106728,7994214
1906,63.53333333333333,182.78804214653272,8951496,195.96887925940516,8954406,207.86021673033446,7998669
1907,63.56666666666667,182.7618230825778,8950212,195.88562799553543,8950602,207.7502143915179,7994436
1908,63.6,182.73205096790002,8948754,195.94504628717746,8953317,207.77274499103453,7995303
1909,63.63333333333333,182.6680960548885,8945622,195.80349287637057,8946849,207.6861308178062,7991970
1910,63.666666666666664,182.70289144817446,8947326,195.8885824962248,8950737,207.80767131831294,7996647
1911,63.7,182.72904925263416,8948607,195.83211870527214,8948157,207.68995088485227,7992117
1912,63.733333333333334,182.75514579759863,8949885,195.9118902238855,8951802,207.68215482965618,7991817
1913,63.766666666666666,182.6362411173732,8944062,195.7893769286324,8946204,207.63303968192093,7989927
1914,63.8,182.7683165890713,8950530,195.9420261309172,8953179,207.81952132221096,7997103
1915,63.833333333333336,182.64536878216123,8944509,195.88529971768105,8950587,207.66890153582287,7991307
1916,63.86666666666667,182.7269051703014,8948502,195.88792594051606,8950707,207.8315272472129,7997565
1917,63.9,182.66319529527075,8945382,195.78602849451775,8946051,207.68457160676698,7991910
1918,63.93333333333333,182.74062729723107,8949174,195.92784452760816,8952531,207.73727293989242,7993938
1919,63.96666666666667,182.70258515069835,8947311,195.86126977874073,8949489,207.68535121228658,7991940
1920,64.0,182.72200441068367,8948262,195.92646576061978,8952468,207.74335386294536,7994172
1921,64.03333333333333,182.61247243322714,8942898,195.80323025408705,8946837,207.6946285179699,7992297
1922,64.06666666666666,182.70540308747857,8947449,195.92423347121004,8952366,207.7416387308022,7994106
1923,64.1,182.67128154864005,8945778,195.83192173855952,8948148,207.70983082560224,7992882
1924,64.13333333333334,182.7587601078167,8950062,195.92633444947805,8952462,207.748031496063,7994352
1925,64.16666666666667,182.61614800294046,8943078,195.80979581117458,8947137,207.6813752241366,7991787
1926,64.2,182.74614065180103,8949444,195.95699560107676,8953863,207.82365323146487,7997262
1927,64.23333333333333,182.65504778240629,8944983,195.87860284945177,8950281,207.72043346066891,7993290
1928,64.26666666666667,182.6700563587356,8945718,195.93611712953845,8952909,207.79652295938254,7996218
1929,64.3,182.58600833129134,8941602,195.81964414680584,8947587,207.65268574101503,7990683
1930,64.33333333333333,182.70681205586865,8947518,195.93486967369182,8952852,207.79449598503157,7996140
1931,64.36666666666666,182.66662582700317,8945550,195.88004727201104,8950347,207.7313479379434,7993710
1932,64.4,182.67103651065915,8945766,195.93637975182193,8952921,207.78646604817962,7995831
1933,64.43333333333334,182.56934574859102,8940786,195.78891733963627,8946183,207.7001637171591,7992510
1934,64.46666666666667,182.69100710610144,8946744,195.8983651762852,8951184,207.7601153816169,7994817
1935,64.5,182.59182798333742,8941887,195.84511850830543,8948751,207.7325173462228,7993755
1936,64.53333333333333,182.69180347953932,8946783,195.91701135841376,8952036,207.80751539720902,7996641
1937,64.56666666666666,182.59525851506984,8942055,195.75057448624517,8944431,207.64816402900132,7990509
1938,64.6,182.69210977701545,8946798,195.8703302475215,8949903,207.77274499103453,7995303
1939,64.63333333333334,182.61865964224455,8943201,195.8523406211017,8949081,207.73158181959928,7993719
1940,64.66666666666667,182.66870864984074,8945652,195.85299717681045,8949111,207.74600452171202,7994274
1941,64.7,182.57755452095074,8941188,195.74473114043727,8944164,207.59203243158962,7988349
1942,64.73333333333333,182.62380543984318,8943453,195.9185214365439,8952105,207.76237623762376,7994904
1943,64.76666666666667,182.58888752756678,8941743,195.8539163548027,8949153,207.6789584470258,7991694
1944,64.8,182.58227150208282,8941419,195.76666010110958,8945166,207.62282684961409,7989534
1945,64.83333333333333,182.37545944621417,8931291,195.5972030726807,8937423,207.48039292118187,7984053
1946,64.86666666666666,182.53559176672385,8939133,195.7176153896658,8942925,207.6321821158494,7989894
1947,64.9,182.5,8937390,195.71321646641718,8942724,207.59296795821314,7988385
1948,64.93333333333334,182.5667728497917,8940660,195.8282450265905,8947980,207.61612224214548,7989276
1949,64.96666666666667,182.4509924038226,8934990,195.6618081544219,8940375,207.57332189911904,7987629
1950,65.0,182.53620436167606,8939163,195.79535158558204,8946477,207.68114134248071,7991778
1951,65.03333333333333,182.5360205831904,8939154,195.73613026065263,8943771,207.58205348093864,7987965
1952,65.06666666666666,182.60665278118108,8942613,195.7906900400499,8946264,207.63522257737586,7990011
1953,65.1,182.54710855182554,8939697,195.67277263475805,8940876,207.5339518203789,7986114
1954,65.13333333333334,182.57363391325654,8940996,195.78202350469437,8945868,207.61573243938568,7989261
1955,65.16666666666667,182.54974271012006,8939826,195.7184689120872,8942964,207.53325017541124,7986087
1956,65.2,182.5577064444989,8940216,195.77499835861073,8945547,207.56536992281906,7987323
1957,65.23333333333333,182.4650820877236,8935680,195.64283369443896,8939508,207.4956731893662,7984641
1958,65.26666666666667,182.6553540798824,8944998,195.80979581117458,8947137,207.64177126374054,7990263
1959,65.3,182.59342073021318,8941965,195.72871118114372,8943432,207.50900444375145,7985154
1960,65.33333333333333,182.58619210977702,8941611,195.76731665681834,8945196,207.5660715677867,7987350
1961,65.36666666666666,182.52272727272728,8938503,195.70264591950627,8942241,207.50011694082795,7984812
1962,65.4,182.5250551335457,8938617,195.79055872890814,8946258,207.60926171357292,7989012
1963,65.43333333333334,182.5824552805685,8941428,195.73540804937298,8943738,207.54159195447104,7986408
1964,65.46666666666667,182.6495344278363,8944713,195.80487164335895,8946912,207.6257893505886,7989648
1965,65.5,182.50912766478805,8937837,195.67421705731732,8940942,207.5212442504093,7985625
1966,65.53333333333333,182.66546189659397,8945493,195.83316919440614,8948205,207.567474857722,7987404
1967,65.56666666666666,182.57718696397941,8941170,195.7906900400499,8946264,207.58010446713962,7987890
1968,65.6,182.6503920607694,8944755,195.81498260127373,8947374,207.6257893505886,7989648
1969,65.63333333333334,182.5357755452095,8939142,195.7329787932506,8943627,207.55749590707103,7987020
1970,65.66666666666667,182.61014457240873,8942784,195.8644869017136,8949636,207.72752787089732,7993563
1971,65.7,182.55776770399413,8940219,195.83264394983914,8948181,207.64465580416308,7990374
1972,65.73333333333333,182.65357755452095,8944911,195.88405226183443,8950530,207.64411008029936,7990353
1973,65.76666666666667,182.50551335456996,8937660,195.77256910248835,8945436,207.555546893272,7986945
1974,65.8,182.6461651555991,8944548,195.90269844396298,8951382,207.698448585016,7992444
1975,65.83333333333333,182.57816711590297,8941218,195.82778543759437,8947959,207.62407421844546,7989582
1976,65.86666666666666,182.6202523891203,8943279,195.89646116472983,8951097,207.72768379200124,7993569
1977,65.9,182.53252879196276,8938983,195.74821088569365,8944323,207.64247290870819,7990290
1978,65.93333333333334,182.62729723107083,8943624,195.87991596086928,8950341,207.70632260076403,7992747
1979,65.96666666666667,182.60101690762068,8942337,195.84826997570744,8948895,207.66913541747874,7991316
1980,66.0,182.69045577064446,8946717,195.81215941172607,8947245,207.7111561549856,7992933
1981,66.03333333333333,182.57081597647635,8940858,195.7938415074519,8946408,207.634910735168,7989999
1982,66.06666666666666,182.67128154864005,8945778,195.89422887532007,8950995,207.81117954315116,7996782
1983,66.1,182.65100465572164,8944785,195.84695686428992,8948835,207.68028377640914,7991745
1984,66.13333333333334,182.7156334231806,8947950,195.9637581248769,8954172,207.79488578779137,7996155
1985,66.16666666666667,182.55641999509925,8940153,195.8351388615324,8948295,207.66664067981603,7991220
1986,66.2,182.6049987748101,8942532,195.99730812159413,8955705,207.8220160598737,7997199
1987,66.23333333333333,182.6864126439598,8946519,195.85936576718535,8949402,207.71185779995324,7992960
1988,66.26666666666667,182.68874050477825,8946633,195.93559188497144,8952885,207.76432525142278,7994979
1989,66.3,182.5549497672139,8940081,195.80460902107544,8946900,207.60887191081312,7988997
1990,66.33333333333333,182.58312913501592,8941461,195.8464972752938,8948814,207.7767989397365,7995459
1991,66.36666666666666,182.6776525361431,8946090,195.92915763902568,8952591,207.75567163015515,7994646
1992,66.4,182.70883361921096,8947617,195.9804346398792,8954934,207.8081390816247,7996665
1993,66.43333333333334,182.58270031854937,8941440,195.82916420458275,8948022,207.74787557495907,7994346
1994,66.46666666666667,182.6380176427346,8944149,195.94688464316198,8953401,207.76596242301395,7995042
1995,66.5,182.47145307522666,8935992,195.69161578359925,8941737,207.53418570203476,7986123
1996,66.53333333333333,182.30084538103407,8927637,195.62727332414156,8938797,207.48203009277304,7984116
1997,66.56666666666666,182.23058074001472,8924196,195.41671590834483,8929176,207.3272004365791,7978158
1998,66.6,181.8871600098015,8907378,195.12664959621824,8915922,207.03087237857645,7966755
1999,66.63333333333334,181.5667728497917,8891688,194.76705403453482,8899491,206.714274577064,7954572
2000,66.66666666666667,181.38899779465817,8882982,194.55341080690695,8889729,206.4069540812349,7942746
2001,66.7,181.95773094829698,8910834,195.11903354999671,8915574,206.94948156232945,7963623
2002,66.73333333333333,181.9499509924038,8910453,195.24673363534896,8921409,206.9777812426912,7964712
2003,66.76666666666667,175.02499387405047,8571324,188.5991070842361,8617659,199.97606611054806,7695279
2004,66.8,174.68065425140898,8554461,188.3172477184689,8604780,199.7226163561238,7685526
2005,66.83333333333333,173.9769051703014,8519997,187.57376403387826,8570808,199.05870429562643,7659978
2006,66.86666666666666,174.2040553785837,8531121,187.72621626945048,8577774,199.19926717081157,7665387
2007,66.9,174.14873805439842,8528412,187.75956929945505,8579298,199.20831059483902,7665735
2008,66.93333333333334,174.08980641999509,8525526,187.61978858906178,8572911,199.08653621267638,7661049
2009,66.96666666666667,173.9479294290615,8518578,187.58728908147856,8571426,199.0255710610431,7658703
2010,67.0,173.5661602548395,8499882,187.16131573764034,8551962,198.5454120215171,7640226
2011,67.03333333333333,172.88434207302132,8466492,186.46024555183507,8519928,197.79777032821391,7611456
2012,67.06666666666666,172.57706444498896,8451444,186.07629177335696,8502384,197.50978404927108,7600374
2013,67.1,172.63066650330802,8454069,186.16466417175496,8506422,197.5461916270367,7601775
2014,67.13333333333334,174.5659152168586,8548842,188.14352307793317,8596842,199.60902783191705,7681155
2015,67.16666666666667,174.90896839010045,8565642,188.45302343903882,8610984,199.92125984251967,7693170
2016,67.2,175.03932859593237,8572026,188.59129407130195,8617302,200.06969673345287,7698882
2017,67.23333333333333,174.97911051212938,8569077,188.51986081018975,8614038,199.94706478521869,7694163
2018,67.26666666666667,175.10665278118108,8575323,188.65274768564112,8620110,200.069462851797,7698873
2019,67.3,174.9772114677775,8568984,188.60344035191386,8617857,200.06158883604897,7698570
2020,67.33333333333333,175.06946826758147,8573502,188.60915238658,8618118,200.09838621657443,7699986
2021,67.36666666666666,174.98823817691743,8569524,188.5514411397807,8615481,199.9754424261324,7695255
